"block","item_no","ANSWER","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"control","1","diff","wua3","w","ua","t3","wua1","w","ua","t1","wua","wua","w_w","ua_ua","t3t1","wua_wua","t1t3","w_w","ua_ua","wua_wua"
"control","2","same","thia1","th","ia","t1","thia1","th","ia","t1","thia","thia","th_th","ia_ia","t1t1","thia_thia","t1t1","th_th","ia_ia","thia_thia"
"control","3","same","tco5","tc","o","t5","tco5","tc","o","t5","tco","tco","tc_tc","o_o","t5t5","tco_tco","t5t5","tc_tc","o_o","tco_tco"
"control","4","diff","khw3","kh","w","t3","khw4","kh","w","t4","khw","khw","kh_kh","w_w","t3t4","khw_khw","t3t4","kh_kh","w_w","khw_khw"
"control","5","diff","thia4","th","ia","t4","thia1","th","ia","t1","thia","thia","th_th","ia_ia","t4t1","thia_thia","t1t4","th_th","ia_ia","thia_thia"
"control","6","same","wua5","w","ua","t5","wua5","w","ua","t5","wua","wua","w_w","ua_ua","t5t5","wua_wua","t5t5","w_w","ua_ua","wua_wua"
"control","7","diff","thia3","th","ia","t3","thia1","th","ia","t1","thia","thia","th_th","ia_ia","t3t1","thia_thia","t1t3","th_th","ia_ia","thia_thia"
"control","8","same","khw1","kh","w","t1","khw1","kh","w","t1","khw","khw","kh_kh","w_w","t1t1","khw_khw","t1t1","kh_kh","w_w","khw_khw"
"control","9","same","wua2","w","ua","t2","wua2","w","ua","t2","wua","wua","w_w","ua_ua","t2t2","wua_wua","t2t2","w_w","ua_ua","wua_wua"
"control","10","same","thia3","th","ia","t3","thia3","th","ia","t3","thia","thia","th_th","ia_ia","t3t3","thia_thia","t3t3","th_th","ia_ia","thia_thia"
"control","11","diff","tco5","tc","o","t5","tco1","tc","o","t1","tco","tco","tc_tc","o_o","t5t1","tco_tco","t1t5","tc_tc","o_o","tco_tco"
"control","12","diff","khw1","kh","w","t1","khw3","kh","w","t3","khw","khw","kh_kh","w_w","t1t3","khw_khw","t1t3","kh_kh","w_w","khw_khw"
"control","13","same","wua3","w","ua","t3","wua3","w","ua","t3","wua","wua","w_w","ua_ua","t3t3","wua_wua","t3t3","w_w","ua_ua","wua_wua"
"control","14","same","thia4","th","ia","t4","thia4","th","ia","t4","thia","thia","th_th","ia_ia","t4t4","thia_thia","t4t4","th_th","ia_ia","thia_thia"
"control","15","same","wua1","w","ua","t1","wua1","w","ua","t1","wua","wua","w_w","ua_ua","t1t1","wua_wua","t1t1","w_w","ua_ua","wua_wua"
"control","16","diff","thia4","th","ia","t4","thia2","th","ia","t2","thia","thia","th_th","ia_ia","t4t2","thia_thia","t2t4","th_th","ia_ia","thia_thia"
"control","17","same","tco4","tc","o","t4","tco4","tc","o","t4","tco","tco","tc_tc","o_o","t4t4","tco_tco","t4t4","tc_tc","o_o","tco_tco"
"control","18","diff","khw5","kh","w","t5","khw3","kh","w","t3","khw","khw","kh_kh","w_w","t5t3","khw_khw","t3t5","kh_kh","w_w","khw_khw"
"control","19","diff","wua2","w","ua","t2","wua1","w","ua","t1","wua","wua","w_w","ua_ua","t2t1","wua_wua","t1t2","w_w","ua_ua","wua_wua"
"control","20","diff","thia2","th","ia","t2","thia3","th","ia","t3","thia","thia","th_th","ia_ia","t2t3","thia_thia","t2t3","th_th","ia_ia","thia_thia"
"control","21","same","tco1","tc","o","t1","tco1","tc","o","t1","tco","tco","tc_tc","o_o","t1t1","tco_tco","t1t1","tc_tc","o_o","tco_tco"
"control","22","diff","khw2","kh","w","t2","khw5","kh","w","t5","khw","khw","kh_kh","w_w","t2t5","khw_khw","t2t5","kh_kh","w_w","khw_khw"
"control","23","same","wua4","w","ua","t4","wua4","w","ua","t4","wua","wua","w_w","ua_ua","t4t4","wua_wua","t4t4","w_w","ua_ua","wua_wua"
"control","24","same","thia5","th","ia","t5","thia5","th","ia","t5","thia","thia","th_th","ia_ia","t5t5","thia_thia","t5t5","th_th","ia_ia","thia_thia"
"control","25","diff","khw3","kh","w","t3","khw2","kh","w","t2","khw","khw","kh_kh","w_w","t3t2","khw_khw","t2t3","kh_kh","w_w","khw_khw"
"control","26","same","tco3","tc","o","t3","tco3","tc","o","t3","tco","tco","tc_tc","o_o","t3t3","tco_tco","t3t3","tc_tc","o_o","tco_tco"
"control","27","same","khw2","kh","w","t2","khw2","kh","w","t2","khw","khw","kh_kh","w_w","t2t2","khw_khw","t2t2","kh_kh","w_w","khw_khw"
"control","28","diff","tco2","tc","o","t2","tco1","tc","o","t1","tco","tco","tc_tc","o_o","t2t1","tco_tco","t1t2","tc_tc","o_o","tco_tco"
"control","29","diff","thia4","th","ia","t4","thia3","th","ia","t3","thia","thia","th_th","ia_ia","t4t3","thia_thia","t3t4","th_th","ia_ia","thia_thia"
"control","30","diff","khw4","kh","w","t4","khw1","kh","w","t1","khw","khw","kh_kh","w_w","t4t1","khw_khw","t1t4","kh_kh","w_w","khw_khw"
"control","31","same","tco1","tc","o","t1","tco1","tc","o","t1","tco","tco","tc_tc","o_o","t1t1","tco_tco","t1t1","tc_tc","o_o","tco_tco"
"control","32","same","wua4","w","ua","t4","wua4","w","ua","t4","wua","wua","w_w","ua_ua","t4t4","wua_wua","t4t4","w_w","ua_ua","wua_wua"
"control","33","diff","khw4","kh","w","t4","khw2","kh","w","t2","khw","khw","kh_kh","w_w","t4t2","khw_khw","t2t4","kh_kh","w_w","khw_khw"
"control","34","same","thia2","th","ia","t2","thia2","th","ia","t2","thia","thia","th_th","ia_ia","t2t2","thia_thia","t2t2","th_th","ia_ia","thia_thia"
"control","35","diff","tco1","tc","o","t1","tco3","tc","o","t3","tco","tco","tc_tc","o_o","t1t3","tco_tco","t1t3","tc_tc","o_o","tco_tco"
"control","36","same","wua1","w","ua","t1","wua1","w","ua","t1","wua","wua","w_w","ua_ua","t1t1","wua_wua","t1t1","w_w","ua_ua","wua_wua"
"control","37","diff","khw1","kh","w","t1","khw2","kh","w","t2","khw","khw","kh_kh","w_w","t1t2","khw_khw","t1t2","kh_kh","w_w","khw_khw"
"control","38","diff","tco5","tc","o","t5","tco3","tc","o","t3","tco","tco","tc_tc","o_o","t5t3","tco_tco","t3t5","tc_tc","o_o","tco_tco"
