"block","item_no","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","ANSWER","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"control","1","wua1","w","ua","t1","wua1","w","ua","t1","same","wua","wua","w_w","ua_ua","t1t1","wua_wua","t1t1","w_w","ua_ua","wua_wua"
"control","2","thia1","th","ia","t1","thia5","th","ia","t5","diff","thia","thia","th_th","ia_ia","t1t5","thia_thia","t1t5","th_th","ia_ia","thia_thia"
"control","4","tco1","tc","o","t1","tco3","tc","o","t3","diff","tco","tco","tc_tc","o_o","t1t3","tco_tco","t1t3","tc_tc","o_o","tco_tco"
"control","5","khw1","kh","w","t1","khw5","kh","w","t5","diff","khw","khw","kh_kh","w_w","t1t5","khw_khw","t1t5","kh_kh","w_w","khw_khw"
"control","6","tco5","tc","o","t5","tco1","tc","o","t1","diff","tco","tco","tc_tc","o_o","t5t1","tco_tco","t1t5","tc_tc","o_o","tco_tco"
"control","7","wua2","w","ua","t2","wua1","w","ua","t1","diff","wua","wua","w_w","ua_ua","t2t1","wua_wua","t1t2","w_w","ua_ua","wua_wua"
"control","8","wua3","w","ua","t3","wua5","w","ua","t5","diff","wua","wua","w_w","ua_ua","t3t5","wua_wua","t3t5","w_w","ua_ua","wua_wua"
"control","9","tco3","tc","o","t3","tco3","tc","o","t3","same","tco","tco","tc_tc","o_o","t3t3","tco_tco","t3t3","tc_tc","o_o","tco_tco"
"control","10","khw3","kh","w","t3","khw3","kh","w","t3","same","khw","khw","kh_kh","w_w","t3t3","khw_khw","t3t3","kh_kh","w_w","khw_khw"
"control","11","thia5","th","ia","t5","thia4","th","ia","t4","diff","thia","thia","th_th","ia_ia","t5t4","thia_thia","t4t5","th_th","ia_ia","thia_thia"
"control","12","tco3","tc","o","t3","tco3","tc","o","t3","same","tco","tco","tc_tc","o_o","t3t3","tco_tco","t3t3","tc_tc","o_o","tco_tco"
