"block","tone_pairs","n"
"control","t1t1",8
"control","t1t2",4
"control","t1t3",4
"control","t1t4",4
"control","t1t5",4
"control","t2t2",8
"control","t2t3",4
"control","t2t4",4
"control","t2t5",4
"control","t3t3",8
"control","t3t4",4
"control","t3t5",4
"control","t4t4",8
"control","t4t5",4
"control","t5t5",8
"orthogonal","t1t1",8
"orthogonal","t1t2",4
"orthogonal","t1t3",4
"orthogonal","t1t4",4
"orthogonal","t1t5",4
"orthogonal","t2t2",8
"orthogonal","t2t3",4
"orthogonal","t2t4",4
"orthogonal","t2t5",4
"orthogonal","t3t3",8
"orthogonal","t3t4",4
"orthogonal","t3t5",4
"orthogonal","t4t4",8
"orthogonal","t4t5",4
"orthogonal","t5t5",8
