"block","tone_pairs","n"
"control","t1t1",16
"control","t1t2",8
"control","t1t3",8
"control","t1t4",8
"control","t1t5",8
"control","t2t2",16
"control","t2t3",8
"control","t2t4",9
"control","t2t5",8
"control","t3t3",16
"control","t3t4",8
"control","t3t5",8
"control","t4t4",16
"control","t4t5",8
"control","t5t5",15
"orthogonal","t1t1",16
"orthogonal","t1t2",8
"orthogonal","t1t3",8
"orthogonal","t1t4",8
"orthogonal","t1t5",8
"orthogonal","t2t2",16
"orthogonal","t2t3",8
"orthogonal","t2t4",8
"orthogonal","t2t5",8
"orthogonal","t3t3",16
"orthogonal","t3t4",8
"orthogonal","t3t5",8
"orthogonal","t4t4",16
"orthogonal","t4t5",8
"orthogonal","t5t5",16
